 format: day,hour,value location:62_128 Start : 20220101 
 1, 0000, 66.000000 
 1, 0100, 143.000000 
 1, 0200, 262.000000 
 1, 0300, 257.000000 
 1, 0400, 175.000000 
 1, 0500, 261.000000 
 1, 0600, 99.000000 
 1, 0700, 240.000000 
 1, 0800, 69.000000 
 1, 0900, 57.000000 
 1, 1000, 47.000000 
 1, 1100, 97.000000 
 1, 1200, 62.000000 
 1, 1300, 79.000000 
 1, 1400, 38.000000 
 1, 1500, 79.000000 
 1, 1600, 61.000000 
 1, 1700, 51.000000 
 1, 1800, 51.000000 
 1, 1900, 54.000000 
 1, 2000, 89.000000 
 1, 2100, 103.000000 
 1, 2200, 30.000000 
 1, 2300, 84.000000 
 2, 0000, 139.000000 
 2, 0100, 132.000000 
 2, 0200, 260.000000 
 2, 0300, 256.000000 
 2, 0400, 270.000000 
 2, 0500, 265.000000 
 2, 0600, 249.000000 
 2, 0700, 249.000000 
 2, 0800, 260.000000 
 2, 0900, 289.000000 
 2, 1000, 317.000000 
 2, 1100, 66.000000 
 2, 1200, 80.000000 
 2, 1300, 61.000000 
 2, 1400, 61.000000 
 2, 1500, 68.000000 
 2, 1600, 60.000000 
 2, 1700, 59.000000 
 2, 1800, 68.000000 
 2, 1900, 70.000000 
 2, 2000, 68.000000 
 2, 2100, 71.000000 
 2, 2200, 81.000000 
 2, 2300, 72.000000 
 3, 0000, 68.000000 
 3, 0100, 68.000000 
 3, 0200, 182.000000 
 3, 0300, 183.000000 
 3, 0400, 245.000000 
 3, 0500, 247.000000 
 3, 0600, 243.000000 
 3, 0700, 207.000000 
 3, 0800, 245.000000 
 3, 0900, 250.000000 
 3, 1000, 240.000000 
 3, 1100, 228.000000 
 3, 1200, 224.000000 
 3, 1300, 239.000000 
 3, 1400, 250.000000 
 3, 1500, 284.000000 
 3, 1600, 341.000000 
 3, 1700, 355.000000 
 3, 1800, 11.000000 
 3, 1900, 99.000000 
 3, 2000, 73.000000 
 3, 2100, 67.000000 
 3, 2200, 138.000000 
 3, 2300, 317.000000 
 4, 0000, 354.000000 
 4, 0100, 3.000000 
 4, 0200, 229.000000 
 4, 0300, 36.000000 
 4, 0400, 339.000000 
 4, 0500, 269.000000 
 4, 0600, 274.000000 
 4, 0700, 255.000000 
 4, 0800, 264.000000 
 4, 0900, 63.000000 
 4, 1000, 72.000000 
 4, 1100, 51.000000 
 4, 1200, 81.000000 
 4, 1300, 72.000000 
 4, 1400, 65.000000 
 4, 1500, 78.000000 
 4, 1600, 62.000000 
 4, 1700, 67.000000 
 4, 1800, 86.000000 
 4, 1900, 67.000000 
 4, 2000, 71.000000 
 4, 2100, 55.000000 
 4, 2200, 64.000000 
 4, 2300, 65.000000 
 5, 0000, 73.000000 
 5, 0100, 84.000000 
 5, 0200, 80.000000 
 5, 0300, 243.000000 
 5, 0400, 300.000000 
 5, 0500, 261.000000 
 5, 0600, 317.000000 
 5, 0700, 57.000000 
 5, 0800, 70.000000 
 5, 0900, 79.000000 
 5, 1000, 63.000000 
 5, 1100, 49.000000 
 5, 1200, 79.000000 
 5, 1300, 64.000000 
 5, 1400, 75.000000 
 5, 1500, 66.000000 
 5, 1600, 69.000000 
 5, 1700, 69.000000 
 5, 1800, 63.000000 
 5, 1900, 59.000000 
 5, 2000, 90.000000 
 5, 2100, 75.000000 
 5, 2200, 67.000000 
 5, 2300, 70.000000 
 6, 0000, 92.000000 
 6, 0100, 268.000000 
 6, 0200, 255.000000 
 6, 0300, 241.000000 
 6, 0400, 1.000000 
 6, 0500, 323.000000 
 6, 0600, 256.000000 
 6, 0700, 247.000000 
 6, 0800, 47.000000 
 6, 0900, 292.000000 
 6, 1000, 75.000000 
 6, 1100, 62.000000 
 6, 1200, 63.000000 
 6, 1300, 53.000000 
 6, 1400, 68.000000 
 6, 1500, 68.000000 
 6, 1600, 66.000000 
 6, 1700, 68.000000 
 6, 1800, 74.000000 
 6, 1900, 72.000000 
 6, 2000, 65.000000 
 6, 2100, 64.000000 
 6, 2200, 72.000000 
 6, 2300, -1.000000 
 7, 0000, 82.000000 
 7, 0100, 117.000000 
 7, 0200, 245.000000 
 7, 0300, 159.000000 
 7, 0400, 140.000000 
 7, 0500, 223.000000 
 7, 0600, 247.000000 
 7, 0700, 234.000000 
 7, 0800, 307.000000 
 7, 0900, 61.000000 
 7, 1000, 69.000000 
 7, 1100, 85.000000 
 7, 1200, 76.000000 
 7, 1300, 33.000000 
 7, 1400, 76.000000 
 7, 1500, 64.000000 
 7, 1600, 70.000000 
 7, 1700, 71.000000 
 7, 1800, 90.000000 
 7, 1900, 78.000000 
 7, 2000, 56.000000 
 7, 2100, 69.000000 
 7, 2200, 60.000000 
 7, 2300, 62.000000 
 8, 0000, 27.000000 
 8, 0100, 343.000000 
 8, 0200, 326.000000 
 8, 0300, 74.000000 
 8, 0400, 65.000000 
 8, 0500, 331.000000 
 8, 0600, 73.000000 
 8, 0700, 68.000000 
 8, 0800, 43.000000 
 8, 0900, 69.000000 
 8, 1000, 239.000000 
 8, 1100, 235.000000 
 8, 1200, 237.000000 
 8, 1300, 239.000000 
 8, 1400, 237.000000 
 8, 1500, 70.000000 
 8, 1600, 23.000000 
 8, 1700, 67.000000 
 8, 1800, 195.000000 
 8, 1900, 76.000000 
 8, 2000, 71.000000 
 8, 2100, 65.000000 
 8, 2200, 61.000000 
 8, 2300, 90.000000 
 9, 0000, 77.000000 
 9, 0100, 247.000000 
 9, 0200, 99.000000 
 9, 0300, 99.000000 
 9, 0400, 235.000000 
 9, 0500, 143.000000 
 9, 0600, 233.000000 
 9, 0700, 238.000000 
 9, 0800, 66.000000 
 9, 0900, 62.000000 
 9, 1000, 71.000000 
 9, 1100, 74.000000 
 9, 1200, 76.000000 
 9, 1300, 70.000000 
 9, 1400, 67.000000 
 9, 1500, 72.000000 
 9, 1600, 67.000000 
 9, 1700, 76.000000 
 9, 1800, 72.000000 
 9, 1900, 107.000000 
 9, 2000, 87.000000 
 9, 2100, 79.000000 
 9, 2200, 64.000000 
 9, 2300, 77.000000 
 10, 0000, 76.000000 
 10, 0100, 71.000000 
 10, 0200, 253.000000 
 10, 0300, 297.000000 
 10, 0400, 199.000000 
 10, 0500, 241.000000 
 10, 0600, 245.000000 
 10, 0700, 269.000000 
 10, 0800, 302.000000 
 10, 0900, 207.000000 
 10, 1000, 246.000000 
 10, 1100, 256.000000 
 10, 1200, 243.000000 
 10, 1300, 238.000000 
 10, 1400, 320.000000 
 10, 1500, 267.000000 
 10, 1600, 264.000000 
 10, 1700, 271.000000 
